year,state,teams,avg_win_pct
1947,MA,BOS,0.6667
1947,NY,NYK,0.3333
1948,MA,BOS,0.125
1948,NY,NYK,0.875
1949,MA,BOS,0.5
1949,NY,NYK,0.5
1950,MA,BOS,0.1667
1950,NY,NYK,0.8333
1951,MA,BOS,0.5
1951,NY,NYK,0.5
1952,MA,BOS,0.4444
1952,NY,NYK,0.5556
1953,MA,BOS,0.6
1953,NY,NYK,0.4
1954,MA,BOS,0.5
1954,NY,NYK,0.5
1955,MA,BOS,0.5
1955,NY,NYK,0.5
1956,MA,BOS,0.4167
1956,NY,NYK,0.5833
1957,MA,BOS,0.5833
1957,NY,NYK,0.4167
1958,MA,BOS,0.7143
1958,MI,DET,0.2778
1958,NY,NYK,0.4762
1959,MA,BOS,0.7143
1959,MI,DET,0.2222
1959,NY,NYK,0.5238
1960,MA,BOS,0.9545
1960,MI,DET,0.2222
1960,NY,NYK,0.2727
1961,CA,LAL,0.5455
1961,MA,BOS,0.7879
1961,MI,DET,0.3333
1961,NY,NYK,0.3333
1962,CA,LAL,0.5862
1962,MA,BOS,0.6552
1962,MI,DET,0.4138
1962,NY,NYK,0.3448
1963,CA,LAL,0.7241
1963,MA,BOS,0.7586
1963,MI,DET,0.3103
1963,NY,NYK,0.2069
1964,CA,LAL,0.5526
1964,MA,BOS,0.8049
1964,MI,DET,0.3514
1964,NY,NYK,0.3171
1964,PA,PHI,0.4634
1965,CA,LAL,0.675
1965,MA,BOS,0.725
1965,MI,DET,0.3
1965,NY,NYK,0.325
1965,PA,PHI,0.475
1966,CA,LAL,0.45
1966,MA,BOS,0.675
1966,MI,DET,0.275
1966,NY,NYK,0.375
1966,PA,PHI,0.725
1967,CA,LAL,0.3556
1967,IL,CHI,0.3333
1967,MA,BOS,0.7333
1967,MI,DET,0.3778
1967,NY,NYK,0.3778
1967,PA,PHI,0.8222
1968,CA,LAL,0.5833
1968,IL,CHI,0.25
1968,MA,BOS,0.6579
1968,MI,DET,0.3421
1968,NY,NYK,0.4474
1968,PA,PHI,0.7105
1969,AZ,PHO,0.16
1969,CA,LAL,0.64
1969,GA,ATL,0.62
1969,IL,CHI,0.42
1969,MA,BOS,0.62
1969,MI,DET,0.38
1969,NY,NYK,0.6667
1969,PA,PHI,0.6863
1969,WI,MIL,0.3
1970,AZ,PHO,0.38
1970,CA,LAL,0.48
1970,GA,ATL,0.6
1970,IL,CHI,0.48
1970,MA,BOS,0.3529
1970,MI,DET,0.3529
1970,NY,NYK,0.7059
1970,PA,PHI,0.5
1970,WI,MIL,0.6471
1971,AZ,PHO,0.5962
1971,CA,LAL,0.56
1971,GA,ATL,0.4118
1971,IL,CHI,0.5192
1971,MA,BOS,0.4706
1971,MI,DET,0.4902
1971,NY,NYK,0.6471
1971,OH,CLE,0.125
1971,OR,POR,0.375
1971,PA,PHI,0.5098
1971,WI,MIL,0.7647
1972,AZ,PHO,0.6032
1972,CA,"GSW, LAL",0.7177
1972,GA,ATL,0.4407
1972,IL,CHI,0.7031
1972,MA,BOS,0.6885
1972,MI,DET,0.2742
1972,NY,NYK,0.5574
1972,OH,CLE,0.2414
1972,OR,POR,0.1774
1972,PA,PHI,0.3333
1972,TX,HOU,0.3333
1972,WI,MIL,0.6935
1973,AZ,PHO,0.4194
1973,CA,"GSW, LAL",0.6174
1973,GA,ATL,0.541
1973,IL,CHI,0.5738
1973,MA,BOS,0.8033
1973,MI,DET,0.4839
1973,NY,NYK,0.6557
1973,OH,CLE,0.3667
1973,OR,POR,0.2295
1973,PA,PHI,0.0833
1973,TX,HOU,0.3934
1973,WI,MIL,0.7049
1974,AZ,PHO,0.3443
1974,CA,"GSW, LAL",0.5365
1974,GA,ATL,0.4
1974,IL,CHI,0.6393
1974,MA,BOS,0.7213
1974,MI,DET,0.6129
1974,NY,NYK,0.5833
1974,OH,CLE,0.4098
1974,OR,POR,0.3226
1974,PA,PHI,0.3115
1974,TX,HOU,0.3934
1974,WI,MIL,0.6885
1975,AZ,PHO,0.3729
1975,CA,"GSW, LAL",0.5203
1975,GA,ATL,0.3519
1975,IL,CHI,0.5439
1975,MA,BOS,0.7895
1975,MI,DET,0.5
1975,NY,NYK,0.5172
1975,OH,CLE,0.4909
1975,OR,POR,0.5172
1975,PA,PHI,0.4035
1975,TX,HOU,0.4727
1975,WI,MIL,0.4912
1976,AZ,PHO,0.5517
1976,CA,"GSW, LAL",0.608
1976,GA,ATL,0.3684
1976,IL,CHI,0.3103
1976,MA,BOS,0.6842
1976,MI,DET,0.3793
1976,NY,NYK,0.4561
1976,OH,CLE,0.625
1976,OR,POR,0.4068
1976,PA,PHI,0.5439
1976,TX,HOU,0.5179
1976,WI,MIL,0.4483
1977,AZ,PHO,0.431
1977,CA,"GSW, LAL",0.5678
1977,CO,DEN,0.569
1977,GA,ATL,0.3333
1977,IL,CHI,0.5
1977,IN,IND,0.3966
1977,MA,BOS,0.5345
1977,MI,DET,0.5345
1977,NY,NYK,0.5254
1977,OH,CLE,0.5
1977,OR,POR,0.5833
1977,PA,PHI,0.569
1977,TX,"HOU, SAS",0.5172
1977,WI,MIL,0.3559
1978,AZ,PHO,0.5484
1978,CA,"GSW, LAL",0.5397
1978,CO,DEN,0.5806
1978,GA,ATL,0.4844
1978,IL,CHI,0.5238
1978,IN,IND,0.3226
1978,MA,BOS,0.3871
1978,MI,DET,0.4516
1978,NJ,NJN,0.2581
1978,NY,NYK,0.4921
1978,OH,CLE,0.5
1978,OR,POR,0.7143
1978,PA,PHI,0.6774
1978,TX,"HOU, SAS",0.4919
1978,WI,MIL,0.4921
1979,AZ,PHO,0.6613
1979,CA,"GSW, LAL",0.5161
1979,CO,DEN,0.5968
1979,GA,ATL,0.5806
1979,IL,CHI,0.4516
1979,IN,IND,0.5238
1979,MA,BOS,0.371
1979,MI,DET,0.3651
1979,NJ,NJN,0.4839
1979,NY,NYK,0.3651
1979,OH,CLE,0.371
1979,OR,POR,0.5323
1979,PA,PHI,0.5806
1979,TX,"HOU, SAS",0.5602
1979,WI,MIL,0.4677
1980,AZ,PHO,0.6774
1980,CA,"GSW, LAL",0.5161
1980,CO,DEN,0.4032
1980,GA,ATL,0.6571
1980,IL,CHI,0.3387
1980,IN,IND,0.4429
1980,MA,BOS,0.7714
1980,MI,DET,0.2
1980,NJ,NJN,0.4
1980,NY,NYK,0.4857
1980,OH,CLE,0.4429
1980,OR,POR,0.4355
1980,PA,PHI,0.7286
1980,TX,"HOU, SAS",0.4929
1980,UT,UTA,0.3548
1980,WI,MIL,0.629
1981,AZ,PHO,0.6825
1981,CA,"GSW, LAL",0.5317
1981,CO,DEN,0.4219
1981,GA,ATL,0.3803
1981,IL,CHI,0.5143
1981,IN,IND,0.5286
1981,MA,BOS,0.7571
1981,MI,DET,0.2571
1981,NJ,NJN,0.2857
1981,NY,NYK,0.5857
1981,OH,CLE,0.3286
1981,OR,POR,0.5238
1981,PA,PHI,0.7429
1981,TX,"DAL, HOU, SAS",0.4427
1981,UT,UTA,0.375
1981,WI,MIL,0.7183
1982,AZ,PHO,0.5556
1982,CA,"GSW, LAL",0.6111
1982,CO,DEN,0.5156
1982,GA,ATL,0.5286
1982,IL,CHI,0.4
1982,IN,IND,0.4286
1982,MA,BOS,0.7571
1982,MI,DET,0.4648
1982,NJ,NJN,0.5286
1982,NY,NYK,0.4286
1982,OH,CLE,0.1714
1982,OR,POR,0.4762
1982,PA,PHI,0.6571
1982,TX,"DAL, HOU, SAS",0.4688
1982,UT,UTA,0.2656
1982,WI,MIL,0.6901
1983,AZ,PHO,0.6349
1983,CA,"GSW, LAL",0.5079
1983,CO,DEN,0.5469
1983,GA,ATL,0.5286
1983,IL,CHI,0.3714
1983,IN,IND,0.2286
1983,MA,BOS,0.7143
1983,MI,DET,0.4648
1983,NJ,NJN,0.6
1983,NY,NYK,0.5429
1983,OH,CLE,0.2394
1983,OR,POR,0.5397
1983,PA,PHI,0.7857
1983,TX,"DAL, HOU, SAS",0.4167
1983,UT,UTA,0.3906
1983,WI,MIL,0.6429
1984,AZ,PHO,0.4762
1984,CA,"GSW, LAL",0.5159
1984,CO,DEN,0.4531
1984,GA,ATL,0.4857
1984,IL,CHI,0.3286
1984,IN,IND,0.3239
1984,MA,BOS,0.7571
1984,MI,DET,0.6
1984,NJ,NJN,0.5429
1984,NY,NYK,0.5429
1984,OH,CLE,0.3099
1984,OR,POR,0.5714
1984,PA,PHI,0.6143
1984,TX,"DAL, HOU, SAS",0.4479
1984,UT,UTA,0.5312
1984,WI,MIL,0.5857
1985,AZ,PHO,0.3913
1985,CA,"GSW, LAC, LAL",0.4589
1985,CO,DEN,0.6232
1985,GA,ATL,0.4167
1985,IL,CHI,0.4247
1985,IN,IND,0.274
1985,MA,BOS,0.7639
1985,MI,DET,0.5694
1985,NJ,NJN,0.5
1985,NY,NYK,0.2917
1985,OH,CLE,0.4167
1985,OR,POR,0.5072
1985,PA,PHI,0.7083
1985,TX,"DAL, HOU, SAS",0.5121
1985,UT,UTA,0.4928
1985,WI,MIL,0.7083
1986,AZ,PHO,0.3514
1986,CA,"GSW, LAC, LAL, SAC",0.4817
1986,CO,DEN,0.5733
1986,GA,ATL,0.64
1986,IL,CHI,0.3733
1986,IN,IND,0.2568
1986,MA,BOS,0.8108
1986,MI,DET,0.5405
1986,NJ,NJN,0.5
1986,NY,NYK,0.2568
1986,OH,CLE,0.3649
1986,OR,POR,0.473
1986,PA,PHI,0.6757
1986,TX,"DAL, HOU, SAS",0.52
1986,UT,UTA,0.5067
1986,WI,MIL,0.6892
1987,AZ,PHO,0.473
1987,CA,"GSW, LAC, LAL, SAC",0.4515
1987,CO,DEN,0.4533
1987,GA,ATL,0.6667
1987,IL,CHI,0.473
1987,IN,IND,0.4865
1987,MA,BOS,0.7162
1987,MI,DET,0.6351
1987,NJ,NJN,0.2973
1987,NY,NYK,0.2973
1987,OH,CLE,0.3784
1987,OR,POR,0.5946
1987,PA,PHI,0.5405
1987,TX,"DAL, HOU, SAS",0.5156
1987,UT,UTA,0.5467
1987,WI,MIL,0.5867
1988,AZ,PHO,0.3514
1988,CA,"GSW, LAC, LAL, SAC",0.3875
1988,CO,DEN,0.64
1988,GA,ATL,0.6081
1988,IL,CHI,0.6216
1988,IN,IND,0.473
1988,MA,BOS,0.6892
1988,MI,DET,0.6667
1988,NJ,NJN,0.2568
1988,NY,NYK,0.473
1988,OH,CLE,0.473
1988,OR,POR,0.6486
1988,PA,PHI,0.4324
1988,TX,"DAL, HOU, SAS",0.5244
1988,UT,UTA,0.5467
1988,WI,MIL,0.4933
1989,AZ,PHO,0.6533
1989,CA,"GSW, LAC, LAL, SAC",0.4653
1989,CO,DEN,0.5395
1989,FL,MIA,0.1974
1989,GA,ATL,0.6316
1989,IL,CHI,0.5526
1989,IN,IND,0.3421
1989,MA,BOS,0.5405
1989,MI,DET,0.7467
1989,NC,CHO,0.2432
1989,NJ,NJN,0.3108
1989,NY,NYK,0.6216
1989,OH,CLE,0.7105
1989,OR,POR,0.4865
1989,PA,PHI,0.5541
1989,TX,"DAL, HOU, SAS",0.4298
1989,UT,UTA,0.6316
1989,WI,MIL,0.5867
1990,AZ,PHO,0.6533
1990,CA,"GSW, LAC, LAL, SAC",0.4566
1990,CO,DEN,0.5263
1990,FL,"MIA, ORL",0.2251
1990,GA,ATL,0.5
1990,IL,CHI,0.6711
1990,IN,IND,0.5
1990,MA,BOS,0.64
1990,MI,DET,0.7105
1990,MN,MIN,0.2632
1990,NC,CHO,0.25
1990,NJ,NJN,0.2
1990,NY,NYK,0.52
1990,OH,CLE,0.5
1990,OR,POR,0.7333
1990,PA,PHI,0.6351
1990,TX,"DAL, HOU, SAS",0.5833
1990,UT,UTA,0.6579
1990,WI,MIL,0.5132
1991,AZ,PHO,0.6667
1991,CA,"GSW, LAC, LAL, SAC",0.4815
1991,CO,DEN,0.25
1991,FL,"MIA, ORL",0.3308
1991,GA,ATL,0.5263
1991,IL,CHI,0.7368
1991,IN,IND,0.5
1991,MA,BOS,0.6622
1991,MI,DET,0.6053
1991,MN,MIN,0.3421
1991,NC,CHO,0.3158
1991,NJ,NJN,0.3067
1991,NY,NYK,0.4667
1991,OH,CLE,0.4079
1991,OR,POR,0.75
1991,PA,PHI,0.5333
1991,TX,"DAL, HOU, SAS",0.5395
1991,UT,UTA,0.6447
1991,WI,MIL,0.5789
1992,AZ,PHO,0.64
1992,CA,"GSW, LAC, LAL, SAC",0.5333
1992,CO,DEN,0.2895
1992,FL,"MIA, ORL",0.3333
1992,GA,ATL,0.4605
1992,IL,CHI,0.8026
1992,IN,IND,0.5
1992,MA,BOS,0.6053
1992,MI,DET,0.5789
1992,MN,MIN,0.1974
1992,NC,CHO,0.3684
1992,NJ,NJN,0.5067
1992,NY,NYK,0.5921
1992,OH,CLE,0.6842
1992,OR,POR,0.68
1992,PA,PHI,0.3733
1992,TX,"DAL, HOU, SAS",0.4605
1992,UT,UTA,0.6842
1992,WI,MIL,0.3553
1993,AZ,PHO,0.7733
1993,CA,"GSW, LAC, LAL, SAC",0.43
1993,CO,DEN,0.4342
1993,FL,"MIA, ORL",0.4634
1993,GA,ATL,0.5263
1993,IL,CHI,0.6711
1993,IN,IND,0.4737
1993,MA,BOS,0.5867
1993,MI,DET,0.4737
1993,MN,MIN,0.2368
1993,NC,CHO,0.5132
1993,NJ,NJN,0.5067
1993,NY,NYK,0.7333
1993,OH,CLE,0.6579
1993,OR,POR,0.64
1993,PA,PHI,0.2895
1993,TX,"DAL, HOU, SAS",0.4693
1993,UT,UTA,0.5789
1993,WI,MIL,0.3553
1994,AZ,PHO,0.6933
1994,CA,"GSW, LAC, LAL, SAC",0.4333
1994,CO,DEN,0.5132
1994,FL,"MIA, ORL",0.55
1994,GA,ATL,0.6842
1994,IL,CHI,0.6579
1994,IN,IND,0.5658
1994,MA,BOS,0.3867
1994,MI,DET,0.2237
1994,MN,MIN,0.2632
1994,NC,CHO,0.5132
1994,NJ,NJN,0.5395
1994,NY,NYK,0.68
1994,OH,CLE,0.5658
1994,OR,POR,0.5867
1994,PA,PHI,0.3067
1994,TX,"DAL, HOU, SAS",0.5263
1994,UT,UTA,0.6579
1994,WI,MIL,0.25
1995,AZ,PHO,0.7067
1995,CA,"GSW, LAC, LAL, SAC",0.39
1995,CO,DEN,0.5
1995,FL,"MIA, ORL",0.5467
1995,GA,ATL,0.5
1995,IL,CHI,0.5921
1995,IN,IND,0.6316
1995,MA,BOS,0.4079
1995,MI,DET,0.3289
1995,MN,MIN,0.2632
1995,NC,CHO,0.5921
1995,NJ,NJN,0.36
1995,NY,NYK,0.6711
1995,OH,CLE,0.5263
1995,OR,POR,0.5333
1995,PA,PHI,0.28
1995,TX,"DAL, HOU, SAS",0.6053
1995,UT,UTA,0.7237
1995,WI,MIL,0.4079
1996,AZ,PHO,0.4861
1996,CA,"GSW, LAC, LAL, SAC",0.4826
1996,CO,DEN,0.4167
1996,FL,"MIA, ORL",0.6216
1996,GA,ATL,0.5811
1996,IL,CHI,0.8784
1996,IN,IND,0.6
1996,MA,BOS,0.4054
1996,MI,DET,0.56
1996,MN,MIN,0.3333
1996,NC,CHO,0.4865
1996,NJ,NJN,0.3514
1996,NY,"NYK, TOR",0.3919
1996,OH,CLE,0.5676
1996,OR,POR,0.5694
1996,PA,PHI,0.2162
1996,TX,"DAL, HOU, SAS",0.5324
1996,UT,UTA,0.6806
1996,WI,MIL,0.3108
1997,AZ,PHO,0.4861
1997,CA,"GSW, LAC, LAL, SAC",0.4653
1997,CO,DEN,0.2361
1997,FL,"MIA, ORL",0.6622
1997,GA,ATL,0.68
1997,IL,CHI,0.84
1997,IN,IND,0.473
1997,MA,BOS,0.2027
1997,MI,DET,0.6351
1997,MN,MIN,0.4861
1997,NC,CHO,0.6351
1997,NJ,NJN,0.2973
1997,NY,"NYK, TOR",0.527
1997,OH,CLE,0.527
1997,OR,POR,0.6111
1997,PA,PHI,0.2568
1997,TX,"DAL, HOU, SAS",0.4074
1997,UT,UTA,0.7639
1997,WI,MIL,0.3919
1998,AZ,PHO,0.6757
1998,CA,"GSW, LAC, LAL, SAC",0.3818
1998,CO,DEN,0.1351
1998,DC,WAS,0.5128
1998,FL,"MIA, ORL",0.5833
1998,GA,ATL,0.6026
1998,IL,CHI,0.7564
1998,IN,IND,0.7179
1998,MA,BOS,0.4231
1998,MI,DET,0.4744
1998,MN,MIN,0.5405
1998,NC,CHO,0.6154
1998,NJ,NJN,0.5256
1998,NY,"NYK, TOR",0.3526
1998,OH,CLE,0.5769
1998,OR,POR,0.5946
1998,PA,PHI,0.3718
1998,TX,"DAL, HOU, SAS",0.455
1998,UT,UTA,0.7568
1998,WI,MIL,0.4359
1999,AZ,PHO,0.4773
1999,CA,"GSW, LAC, LAL, SAC",0.4251
1999,CO,DEN,0.2143
1999,DC,WAS,0.3469
1999,FL,"MIA, ORL",0.66
1999,GA,ATL,0.6122
1999,IL,CHI,0.25
1999,IN,IND,0.6531
1999,MA,BOS,0.3673
1999,MI,DET,0.5714
1999,MN,MIN,0.4651
1999,NC,CHO,0.52
1999,NJ,NJN,0.3061
1999,NY,"NYK, TOR",0.4945
1999,OH,CLE,0.44
1999,OR,POR,0.6977
1999,PA,PHI,0.5625
1999,TX,"DAL, HOU, SAS",0.565
1999,UT,UTA,0.7442
1999,WI,MIL,0.551
2000,AZ,PHO,0.6351
2000,CA,"GSW, LAC, LAL, SAC",0.4324
2000,CO,DEN,0.4324
2000,DC,WAS,0.359
2000,FL,"MIA, ORL",0.5641
2000,GA,ATL,0.3333
2000,IL,CHI,0.2051
2000,IN,IND,0.6795
2000,MA,BOS,0.4231
2000,MI,DET,0.4872
2000,MN,MIN,0.5946
2000,NC,CHO,0.5897
2000,NJ,NJN,0.3974
2000,NY,"NYK, TOR",0.5641
2000,OH,CLE,0.3846
2000,OR,POR,0.7027
2000,PA,PHI,0.5769
2000,TX,"DAL, HOU, SAS",0.5135
2000,UT,UTA,0.6757
2000,WI,MIL,0.5128
2001,AZ,PHO,0.6081
2001,CA,"GSW, LAC, LAL, SAC",0.4932
2001,CO,DEN,0.4595
2001,DC,WAS,0.2436
2001,FL,"MIA, ORL",0.5577
2001,GA,ATL,0.2949
2001,IL,CHI,0.1795
